prodcode	dmdcode	gemscriptcode	productname	drugsubstance	strength	formulation	route	bnfcode	bnfchapter	Group
38901	550711000001106	95531020	Frumil LS 20mg/2.5mg tablets (Sanofi)	Amiloride hydrochloride/Furosemide	2.5mg + 20mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
38991	13919811000001104	75624020	Bisoprolol 7.5mg tablets (A A H Pharmaceuticals Ltd)	Bisoprolol fumarate	7.5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
38995	3143111000001100	95877020	Zestoretic 20 tablets (AstraZeneca UK Ltd)	Lisinopril/Hydrochlorothiazide	20mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
39021	242635001000027104	90733020	Hydrochlorothiazide with olmesartan medoxomil 25mg with 20mg tablet	Hydrochlorothiazide/Olmesartan Medoxomil	25mg + 20mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
39137	3144311000001101	95875020	Zestoretic 10 tablets (AstraZeneca UK Ltd)	Lisinopril/Hydrochlorothiazide	10mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
39147	3143511000001109	95901020	Carace 20 Plus tablets (Merck Sharp & Dohme Ltd)	Lisinopril/Hydrochlorothiazide	20mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
39227	546711000001107	95527020	Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Hydrochlorothiazide/Captopril	12.5mg + 25mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	Diuretic
39233	8393911000001102	68806020	Propranolol 80mg modified-release capsules (Teva UK Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
39242	3144511000001107	95903020	Carace 10 Plus tablets (Merck Sharp & Dohme Ltd)	Lisinopril/Hydrochlorothiazide	10mg + 12.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	Diuretic
39423	909811000001109	58956020	Sotalol 80mg tablets (A A H Pharmaceuticals Ltd)	Sotalol hydrochloride	80mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
39447	14693611000001102	95950020	Varbim XL 1.5mg tablets (Teva UK Ltd)	Indapamide	1.5mg	Modified-release tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
39646	256485001000027104	96562020	Bisoprolol 0.625mg/5ml oral solution	Bisoprolol Fumarate	0.625mg/5ml	Oral Liquid	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
39807	427411000001106	96714020	Frumil 40mg/5mg tablets (Sanofi)	Amiloride hydrochloride/Furosemide	5mg + 40mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
39846	9105811000001100	84559020	Vivacor 5mg tablets (Lexon (UK) Ltd)	Bisoprolol fumarate	5mg	Tablet	Oral	02040000/02050000/02100100	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Management Of Myocardial Infarction	B-blocker
40149	320511000001104	57796020	Bendroflumethiazide 5mg tablets (IVAX Pharmaceuticals UK Ltd)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
40167	203711000001103	54126020	Metoprolol 100mg tablets (IVAX Pharmaceuticals UK Ltd)	Metoprolol tartrate	100mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
40241	65075001000027104	56193020	Propranolol LA 160mg Capsule (Approved Prescription Services Ltd)	Propranolol hydrochloride	160mg	Modified-release capsule	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
40256	3689111000001107	96646020	Baratol 25mg tablets (Amdipharm Plc)	Indoramin hydrochloride	25mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
40678	653011000001107	64073020	Doxazosin 4mg tablets (Teva UK Ltd)	Doxazosin mesilate	4mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
40761	432118006	97367020	Nebivolol 2.5mg tablets	Nebivolol hydrochloride	2.5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
40810	13040511000001108	94251020	Phenoxybenzamine 10mg/5ml oral suspension	Phenoxybenzamine hydrochloride	2mg/1ml	Oral suspension	Oral	02050400	Alpha-adrenoceptor Blocking Drugs	Alpha blocker
40886	9792811000001104	68065020	Bendroflumethiazide 2.5mg tablets (Almus Pharmaceuticals Ltd)	Bendroflumethiazide	2.5mg	Tablet	Oral	02020100/09050102	Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria	Diuretic
40891	840911000001105	64251020	Doxazosin 2mg tablets (IVAX Pharmaceuticals UK Ltd)	Doxazosin mesilate	2mg	Tablet	Oral	02050400/07040000	Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders	Alpha blocker
40898	5889911000001108	67325020	Torasemide 5mg tablets (A A H Pharmaceuticals Ltd)	Torasemide	5mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
40907	8139411000001107	68581020	Indapamide 2.5mg tablets (Genus Pharmaceuticals Ltd)	Indapamide hemihydrate	2.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
41074	9803611000001108	69121020	Spironolactone 25mg tablets (Almus Pharmaceuticals Ltd)	Spironolactone	25mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
41292	539911000001101	76949020	Furosemide 20mg tablets (Wockhardt UK Ltd)	Furosemide	20mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
41405	752711000001106	53339020	Furosemide 500mg tablets (Teva UK Ltd)	Furosemide	500mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
41517	436711000001100	54690020	Bendroflumethiazide 5mg tablets (Teva UK Ltd)	Bendroflumethiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
41533	242811000001109	63792020	Co-amilofruse 2.5mg/20mg tablets (Teva UK Ltd)	Amiloride hydrochloride/Furosemide	2.5mg + 20mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
41543	854611000001108	64244020	Doxazosin 1mg tablets (IVAX Pharmaceuticals UK Ltd)	Doxazosin mesilate	1mg	Tablet	Oral	02050400/07040000	Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders	Alpha blocker
41555	188311000001109	50436020	Propranolol 40mg tablets (A A H Pharmaceuticals Ltd)	Propranolol hydrochloride	40mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
41556	26611000001101	53503020	Co-amilozide 5mg/50mg tablets (Teva UK Ltd)	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
41572	485811000001105	54654020	Co-tenidone 100mg/25mg tablets (Teva UK Ltd)	Atenolol/Chlortalidone	100mg + 25mg	Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
41591	888911000001101	62682020	Bisoprolol 10mg tablets (Teva UK Ltd)	Bisoprolol fumarate	10mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
41592	38611000001103	55623020	Spironolactone 100mg tablets (Actavis UK Ltd)	Spironolactone	100mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
41651	52515001000027104	54583020	Prazosin 500microgram Tablet (Approved Prescription Services Ltd)	Prazosin hydrochloride	500microgram	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
41652	89711000001108	54209020	Prazosin 500microgram tablets (A A H Pharmaceuticals Ltd)	Prazosin hydrochloride	500microgram	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
41660	610611000001103	53611020	Spironolactone 100mg tablets (Teva UK Ltd)	Spironolactone	100mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
41706	121211000001101	55250020	Spironolactone 50mg tablets (IVAX Pharmaceuticals UK Ltd)	Spironolactone	50mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
41719	667111000001108	56479020	Co-amilofruse 5mg/40mg tablets (Actavis UK Ltd)	Amiloride hydrochloride/Furosemide	5mg + 40mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
41721	778311000001107	54210020	Prazosin 1mg tablets (A A H Pharmaceuticals Ltd)	Prazosin hydrochloride	1mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
41740	749111000001104	63783020	Celiprolol 200mg tablets (Teva UK Ltd)	Celiprolol hydrochloride	200mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
41828	822211000001103	53873020	Furosemide 500mg tablets (Actavis UK Ltd)	Furosemide	500mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
41861	14242211000001100	95960020	Tensaid XL 1.5mg tablets (Mylan)	Indapamide	1.5mg	Modified-release tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
41885	13824811000001102	95348020	Ethibide XL 1.5mg tablets (Genus Pharmaceuticals Ltd)	Indapamide	1.5mg	Modified-release tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
41889	NA	!7251101	TRIAMTERENE 50MG HYDROCHLOROTHIAZIDE25MG					00000000	Unknown	Diuretic
41892	NA	!4530101	METOPROLOL 100MG/HYDROCHLOROTHIAZ.12.5MG					00000000	Unknown	B-blocker
42142	453811000001103	97965020	Moduretic 5mg/50mg tablets (Merck Sharp & Dohme Ltd)	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
42152	823311000001101	79595020	Syprol 50mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)	Propranolol hydrochloride	10mg/1ml	Oral solution	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
42388	10305811000001104	73018020	Furosemide 40mg/5ml oral solution sugar free (Focus Pharmaceuticals Ltd)	Furosemide	8mg/1ml	Oral solution	Gastroenteral/Oral	02020200	Loop Diuretics	Diuretic
42488	10214011000001104	72847020	Furosemide 40mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)	Furosemide	8mg/1ml	Oral solution	Gastroenteral/Oral	02020200	Loop Diuretics	Diuretic
42795	354811000001105	61054020	Celiprolol 200mg tablets (Mylan)	Celiprolol hydrochloride	200mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
42906	10437611000001100	63983020	Indapamide 2.5mg tablets (Niche Generics Ltd)	Indapamide hemihydrate	2.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
43184	15600711000001108	97115020	Mapemid XL 1.5mg tablets (Teva UK Ltd)	Indapamide	1.5mg	Modified-release tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
43251	13436011000001108	75323020	Bisoprolol 1.25mg tablets (Mylan)	Bisoprolol fumarate	1.25mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
43322	409185001	98337020	Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets	Olmesartan medoxomil/Hydrochlorothiazide	40mg + 12.5mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
43508	295411000001105	56458020	Co-amilofruse 5mg/40mg tablets (Sandoz Ltd)	Amiloride hydrochloride/Furosemide	5mg + 40mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
43514	481811000001107	50618020	Spironolactone 50mg tablets (A A H Pharmaceuticals Ltd)	Spironolactone	50mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
43516	397311000001100	57007020	Indapamide 2.5mg tablets (Actavis UK Ltd)	Indapamide hemihydrate	2.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
43525	395011000001105	64019020	Propranolol 10mg tablets (IVAX Pharmaceuticals UK Ltd)	Propranolol hydrochloride	10mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
43547	898711000001102	54222020	Prazosin 500microgram tablets (IVAX Pharmaceuticals UK Ltd)	Prazosin hydrochloride	500microgram	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
43549	4230411000001104	65838020	Sotalol 40mg tablets (IVAX Pharmaceuticals UK Ltd)	Sotalol hydrochloride	40mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
43564	112235001000027104	62726020	Bisoprolol 5mg Tablet (PLIVA Pharma Ltd)	Bisoprolol fumarate	5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
43695	11757711000001108	93902020	Colixil XL 4mg tablets (Sandoz Ltd)	Doxazosin mesilate	4mg	Modified-release tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
43915	17220911000001102	98339020	Olmetec Plus 40mg/12.5mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil/Hydrochlorothiazide	40mg + 12.5mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
44000	12287611000001100	98730020	Bisoprolol 2.5mg/5ml oral suspension	Bisoprolol fumarate	500microgram/1ml	Oral suspension	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
44168	15436111000001104	97012020	Indipam XL 1.5mg tablets (Actavis UK Ltd)	Indapamide	1.5mg	Modified-release tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
44808	16551311000001104	77127020	Nebivolol 2.5mg tablets (A A H Pharmaceuticals Ltd)	Nebivolol hydrochloride	2.5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
44858	244111000001105	56835020	Atenolol 25mg tablets (Actavis UK Ltd)	Atenolol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
45040	17338211000001104	99157020	Larbex XL 4mg tablets (Teva UK Ltd)	Doxazosin mesilate	4mg	Modified-release tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
45078	60285001000027104	55567020	Spironolactone 25mg/5ml Oral solution sugar free (Rosemont Pharmaceuticals Ltd)	Spironolactone	25mg/5ml	Oral Solution	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
45265	198435001000027104	75714020	Doxazosin sr 4mg Tablet (Generics (UK) Ltd)	Doxazosin mesilate	4mg	Modified-release tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
45289	243965001000027104	91796020	Metoprolol tartrate Oral solution	Metoprolol Tartrate		Oral Solution	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
45297	502911000001101	64022020	Propranolol 40mg tablets (IVAX Pharmaceuticals UK Ltd)	Propranolol hydrochloride	40mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
45309	9703611000001104	71703020	Acebutolol 400mg tablets (A A H Pharmaceuticals Ltd)	Acebutolol hydrochloride	400mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
45328	462611000001100	64311020	Doxazosin 1mg tablets (Sandoz Ltd)	Doxazosin mesilate	1mg	Tablet	Oral	02050400/07040000	Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders	Alpha blocker
45342	761311000001108	64318020	Doxazosin 4mg tablets (Sandoz Ltd)	Doxazosin mesilate	4mg	Tablet	Oral	02050400/07040000	Alpha-adrenoceptor Blocking Drugs/Drugs For Genito-urinary Disorders	Alpha blocker
45343	30285001000027108	51778020	Propranolol SR 80mg Modified-release capsule (C P Pharmaceuticals Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
45494	9808311000001104	71577020	Propranolol 10mg tablets (Almus Pharmaceuticals Ltd)	Propranolol hydrochloride	10mg	Tablet	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
45583	11554711000001104	64184020	Doxazosin 2mg tablets (Dexcel-Pharma Ltd)	Doxazosin mesilate	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
45765	15307311000001100	96602020	Syprol 40mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)	Propranolol hydrochloride	8mg/1ml	Oral solution	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
45877	15610411000001104	99275020	Beta-Prograne 160mg modified-release capsules (Teva UK Ltd)	Propranolol hydrochloride	160mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
45916	116235001000027104	63283020	Hydroflumethiazide with spironolactone 50mg+50mg Tablet	Spironolactone/Hydroflumethiazide	50mg+50mg	Tablet	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
46066	18197411000001108	99273020	Cardozin XL 4mg tablets (Almus Pharmaceuticals Ltd)	Doxazosin mesilate	4mg	Modified-release tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
46302	18149011000001100	99566020	Neo-Naclex 2.5mg tablets (AMCo)	Bendroflumethiazide	2.5mg	Tablet	Oral	02020100/09050102	Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria	Diuretic
46355	18986411000001108	99779020	Sevikar HCT 20mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd)	Hydrochlorothiazide/Olmesartan medoxomil/Amlodipine besilate	12.5mg + 20mg + 5mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Diuretic
46363	15610611000001100	99271020	Half Beta-Prograne 80mg modified-release capsules (Teva UK Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
46493	135125001000027104	04483007	PROPRANOLOL 15 MG SYR					00000000	Unknown	B-blocker
46525	5592211000001107	67150020	Torasemide 5mg tablets (Teva UK Ltd)	Torasemide	5mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
46526	18164911000001108	99138020	Raporsin XL 4mg tablets (Actavis UK Ltd)	Doxazosin mesilate	4mg	Modified-release tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
46614	113511000001109	00195021	Lopresor 50mg tablets (Recordati Pharmaceuticals Ltd)	Metoprolol tartrate	50mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
46674	60315001000027104	55570020	Spironolactone 50mg/5ml Oral suspension sugar free (Rosemont Pharmaceuticals Ltd)	Spironolactone	50mg/5ml	Oral Suspension	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
46675	14033311000001104	75757020	Indapamide 1.5mg modified-release tablets (A A H Pharmaceuticals Ltd)	Indapamide	1.5mg	Modified-release tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
46687	264945001000027104	99769020	Olmesartan medoxomil with amlodipine and hydrochlorothiazide 20mg + 5mg + 12.5mg Tablet	Amlodipine/Hydrochlorothiazide/Olmesartan Medoxomil	20mg + 5mg + 12.5mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
46699	9801311000001104	71525020	Furosemide 40mg tablets (Almus Pharmaceuticals Ltd)	Furosemide	40mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
46715	264965001000027104	99773020	Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 12.5mg Tablet	Amlodipine/Hydrochlorothiazide/Olmesartan Medoxomil	40mg + 10mg + 12.5mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
46740	756911000001107	00197021	Lopresor 100mg tablets (Recordati Pharmaceuticals Ltd)	Metoprolol tartrate	100mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
46792	264955001000027104	99771020	Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 12.5mg Tablet	Amlodipine/Hydrochlorothiazide/Olmesartan Medoxomil	40mg + 5mg + 12.5mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
46908	721711000001100	56095020	Atenolol 100mg tablets (Kent Pharmaceuticals Ltd)	Atenolol	100mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
46916	17611000001107	49316020	Co-amilozide 5mg/50mg tablets (A A H Pharmaceuticals Ltd)	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
46922	559411000001105	54223020	Prazosin 1mg tablets (IVAX Pharmaceuticals UK Ltd)	Prazosin hydrochloride	1mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
46931	275811000001103	56837020	Atenolol 100mg tablets (Actavis UK Ltd)	Atenolol	100mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
46935	7398911000001101	67701020	Carvedilol 3.125mg tablets (Actavis UK Ltd)	Carvedilol	3.125mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
46936	7493711000001102	67784020	Carvedilol 3.125mg tablets (A A H Pharmaceuticals Ltd)	Carvedilol	3.125mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
46948	10429011000001100	67666020	Furosemide 40mg tablets (Arrow Generics Ltd)	Furosemide	40mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
46952	588911000001102	56911020	Co-tenidone 100mg/25mg tablets (Actavis UK Ltd)	Atenolol/Chlortalidone	100mg + 25mg	Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
46990	8726411000001105	00519021	Spironolactone 50mg/5ml oral suspension	Spironolactone	10mg/1ml	Oral suspension	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
47018	8726511000001109	00517021	Spironolactone 25mg/5ml oral suspension	Spironolactone	5mg/1ml	Oral suspension	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
47041	13436211000001104	75328020	Bisoprolol 2.5mg tablets (Mylan)	Bisoprolol fumarate	2.5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
47107	8356811000001107	00567021	Carvedilol 5mg/5ml oral suspension	Carvedilol	1mg/1ml	Oral suspension	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
47300	15638611000001106	76819020	Nebivolol 2.5mg tablets (Glenmark Pharmaceuticals Europe Ltd)	Nebivolol hydrochloride	2.5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
47467	264975001000027104	99775020	Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 25mg Tablet	Amlodipine/Hydrochlorothiazide/Olmesartan Medoxomil	40mg + 5mg + 25mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
47536	304045001000027072	00770021	Metoprolol tartrate 12.5mg/5ml Oral suspension	Metoprolol Tartrate	12.5mg/5ml	Oral Suspension	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
47543	18069311000001100	00627021	Half Beta-Prograne 80mg modified-release capsules (Actavis UK Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	00000000	Unknown	B-blocker
47573	18986711000001104	99783020	Sevikar HCT 40mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd)	Amlodipine besilate/Hydrochlorothiazide/Olmesartan medoxomil	5mg + 12.5mg + 40mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Diuretic
47616	18987011000001100	99785020	Sevikar HCT 40mg/10mg/12.5mg tablets (Daiichi Sankyo UK Ltd)	Amlodipine besilate/Hydrochlorothiazide/Olmesartan medoxomil	10mg + 12.5mg + 40mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Diuretic
47647	245685001000027104	92509020	Co-amilofruse oral liquid	Furosemide/Amiloride Hydrochloride		Oral Liquid	Oral	02020200/02020300	Loop Diuretics/Potassium-sparing Diuretics And Aldosterone Antagonists	Diuretic
47687	87685001000027104	59101020	Spiretic 25mg Tablet (DDSA Pharmaceuticals Ltd)	Spironolactone	25mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
47727	18987311000001104	99789020	Sevikar HCT 40mg/5mg/25mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil/Hydrochlorothiazide/Amlodipine besilate	40mg + 25mg + 5mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Diuretic
